Nuts,ETER_ID,INST_NAME,REF_YEAR,LEGAL_STAT,FOUND_YEAR,GRAD_ISCED8,R&D_EXP,RES_MOB,COOP_RES,TOT_INC_STUD,TOT_OUT_STUD,INC_STAFF,OUT_STAFF,TOT_ACC_STAFF,FOR_ACC_STAFF,STUD_ENR_I8,TOT_EXP,TOT_REV,CORE_BUDG,TOT_STAFF,TOT_RES,TOT_STUD_ENR
FR10,FR0181,École nationale supérieure d'architecture de Paris-Malaquais,2017,0.0,2001.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0182,École nationale supérieure d'architecture de Paris-La Villette,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0183,École nationale supérieure d'architecture de Paris-Belleville,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0184,Groupe ESPI École supérieure des professions immobilières,2017,1.0,1972.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0185,École nationale supérieure d'arts et métiers,2017,0.0,1780.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5630.0
FR10,FR0186,École nationale supérieure de chimie de Paris,2017,0.0,1896.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,382.0
FR10,FR0187,Institut de physique du globe,2017,0.0,1921.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FR10,FR0188,École supérieure de physique et de chimie industrielles de la ville de Paris,2017,0.0,1882.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FR10,FR0189,Institut d'études politiques de Paris,2017,0.0,1872.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,9709.0
FR10,FR0190,École normale supérieure de Paris,2017,0.0,1985.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1412.0
FR10,FR0191,Institut des sciences et industries du vivant et de l'environnement,2017,0.0,2007.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FR10,FR0192,École nationale supérieure des arts décoratifs,2017,0.0,1766.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0193,Conservatoire national des arts et métiers,2017,0.0,1794.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2352.0
FR10,FR0194,École nationale des Chartes,2017,0.0,1821.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,155.0
FR10,FR0195,Collège de France,2017,0.0,1530.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FR10,FR0196,École pratique des hautes études,2017,0.0,1868.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,541.0
FR10,FR0197,Institut national des langues et civilisations orientales,2017,0.0,1873.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5562.0
