ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AT0071,Karl Landsteiner Privatuniversität für Gesundheitswissenschaften,2016,AT,private,uas,49.98,46.93,119.58,2.548050287662476,0.9389755902360944,1,1,,,,,1,1
BE0005,Université de Namur,2016,BE,private government dependent,uas,,,,,,0,0,,,,,0,0
BE0006,Université Saint-Louis - Bruxelles,2016,BE,private government dependent,uas,,,,,,0,0,,,,,0,0
BE0007,Université catholique de Louvain,2016,BE,private government dependent,uas,,,,,,0,0,,,,,0,0
BE0008,Université de Liège,2016,BE,public,uas,,,,,,0,0,,,,,0,0
BE0009,Université de Mons,2016,BE,public,uas,,,,,,0,0,,,,,0,0
BE0010,Université libre de Bruxelles,2016,BE,private government dependent,uas,,,,,,0,0,,,,,0,0
BE0011,Haute Ecole ICHEC - ECAM - ISFSC,2016,BE,private government dependent,other,,,,,,0,0,9084.0,,,,0,0
BE0012,Haute École Albert Jacquard,2016,BE,public,other,,,,,,0,0,62.0,,,,0,0
BE0014,Haute École Charlemagne,2016,BE,public,other,,,,,,0,0,1081.0,,,,0,0
BE0016,Haute Ecole en Hainaut,2016,BE,public,other,,,,,,0,0,2994.0,,,,0,0
BE0017,Haute Ecole Robert Schuman,2016,BE,public,other,,,,,,0,0,6651.0,,,,0,0
BE0019,Haute Ecole de la Province de Liège,2016,BE,public,other,,,,,,0,0,2535.0,,,,0,0
BE0020,Haute Ecole de la Province de Namur,2016,BE,public,other,,,,,,0,0,862.0,,,,0,0
BE0021,Haute Ecole de la Ville de Liège,2016,BE,public,other,,,,,,0,0,610.0,,,,0,0
BE0024,Haute Ecole Francisco Ferrer,2016,BE,public,other,,,,,,0,0,979.0,,,,0,0
BE0025,Haute Ecole Galilée,2016,BE,private government dependent,other,,,,,,0,0,385.0,,,,0,0
BE0026,Haute Ecole Léonard de Vinci,2016,BE,private government dependent,other,,,,,,0,0,413.0,,,,0,0
BE0027,Haute Ecole Libre de Bruxelles Ilya Prigogine,2016,BE,private government dependent,other,,,,,,0,0,710.0,,,,0,0
BE0028,Haute Ecole Libre Mosane,2016,BE,private government dependent,other,,,,,,0,0,276.0,,,,0,0
BE0029,Haute École Louvain en Hainaut,2016,BE,private government dependent,other,,,,,,0,0,516.0,,,,0,0
BE0030,Haute Ecole Lucia de Brouckère,2016,BE,public,other,,,,,,0,0,618.0,,,,0,0
BE0031,Haute Ecole Provinciale du Hainaut - Condorcet,2016,BE,public,other,,,,,,0,0,400.0,,,,0,0
BE0032,Académie des Beaux-Arts de la ville de Tournai,2016,BE,public,uni,,,,,,0,0,656.0,,,,0,0
BE0033,Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts,2016,BE,public,uni,,,,,,0,0,,,,,0,0
BE0034,École supérieure des Arts de la Ville de Liège,2016,BE,public,uni,,,,,,0,0,,,,,0,0
BE0035,Conservatoire royal de musique de Bruxelles,2016,BE,public,uni,,,,,,0,0,594.0,,,,0,0
BE0036,Conservatoire royal de musique de Liège,2016,BE,public,uni,,,,,,0,0,681.0,,,,0,0
BE0038,École supérieure des Arts du Cirque,2016,BE,public,uni,,,,,,0,0,684.0,,,,0,0
BE0039,École supérieure des Arts - École de Recherche graphique,2016,BE,private government dependent,uni,,,,,,0,0,473.0,,,,0,0
BE0040,École nationale supérieure des Arts visuels de La Cambre,2016,BE,public,uni,,,,,,0,0,,,,,0,0
BE0041,École supérieure des Arts de l'Image LE 75,2016,BE,public,uni,,,,,,0,0,,,,,0,0
BE0042,École supérieure des Arts Saint-Luc de Liège,2016,BE,private government dependent,uni,,,,,,0,0,725.0,,,,0,0
BE0043,École supérieure des Arts Institut Saint-Luc Tournai,2016,BE,private government dependent,uni,,,,,,0,0,79.0,,,,0,0
BE0045,Institut des Arts de Diffusion,2016,BE,private government dependent,uni,,,,,,0,0,26.0,,,,0,0
BE0046,Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion,2016,BE,public,uni,,,,,,0,0,403.0,,,,0,0
BE0048,Institut supérieur de Musique et de Pédagogie,2016,BE,private government dependent,uni,,,,,,0,0,169.0,,,,0,0
BE0056,Katholieke Universiteit Leuven,2016,BE,private government dependent,uas,10528.64,7094.35,44362.0,6.253145108431357,0.6738144717646345,0,0,400.0,,110.905,,0,0
BE0057,Transnationale Universiteit Limburg,2016,BE,private government dependent,uas,42.9,35.1,1547.0,44.07407407407407,0.8181818181818182,2,2,364.0,,4.25,,2,0
BE0058,Universiteit Hasselt,2016,BE,public,uas,1063.02,743.46,3846.0,5.173109514970543,0.6993847716882091,0,0,772.0,,4.981865284974093,,1,0
BE0059,Universiteit Antwerpen,2016,BE,public,uas,3319.26,2177.85,15926.0,7.3127166701104285,0.6561251604273239,0,0,171.0,,93.1345029239766,,0,0
BE0060,Universiteit Gent,2016,BE,public,uas,7803.08,5428.35,35261.0,6.495712325107998,0.6956676081752334,0,0,186.0,,189.57526881720432,,0,0
BE0061,Vrije Universiteit Brussel,2016,BE,private government dependent,uas,2727.75,1793.08,11062.0,6.169272982800544,0.6573476308312711,0,0,858.0,,12.892773892773892,,0,0
BE0062,Arteveldehogeschool,2016,BE,private government dependent,other,816.6,611.11,12325.0,20.168218487669986,0.7483590497183443,0,0,243.0,,50.7201646090535,,0,0
